variavel	descricao
vd_supl1_exclusivamente_vitc	Uso de apenas um suplemento de micronutrientes que contenha somente Vit C nos últimos 6 meses
vd_supl1_exclusivamente_vitd	Uso de apenas um suplemento de micronutrientes que contenha somente Vit D nos últimos 6 meses
vd_supl1_ferro_nao_sus	Uso de qualquer suplemento de micronutrientes que contenha ferro não adquirido no Serviço público de saúde  nos últimos 6 meses
vd_supl1_ferro_sus	Uso de qualquer suplemento de micronutrientes que contenha ferro adquirido no Serviço público de saúde  nos últimos 6 meses
vd_supl1_multi_sem_com_minerais	Uso de qualquer suplemento de micronutrientes multivitamínico sem ou com minerais
vd_supl1_multivitaminico_com_minerais	Uso de qualquer suplemento de micronutrientes que contenha vitaminas e minerais nos últimos 6 meses
vd_supl1_multivitaminico_com_minerais_bcferro	Uso de qualquer suplemento de micronutrientes multivitamínico com  minerais que contenha Vit B, Vit C, ferro nos últimos 6 meses
vd_supl1_multivitaminico_sem_minerais	Uso de qualquer suplemento de micronutrientes que contenha apenas vitaminas nos últimos 6 meses
vd_supl1_multivitaminico_sem_minerais_abcd	Uso de qualquer suplemento de micronutrientes multivitamínico sem minerais que contenha Vit A, Vit B, Vit C, Vit D nos últimos 6 meses
vd_supl1_multivitaminico_sem_minerais_abcde	Uso de qualquer suplemento de micronutrientes multivitamínico sem minerais que contenha Vit A, Vit B, Vit C, Vit D, Vit E nos últimos 6 meses
vd_supl1_multivitaminico_sem_minerais_abcdek	Uso de qualquer suplemento de micronutrientes multivitamínico sem minerais que contenha Vit A, Vit B, Vit C, Vit D, Vit E, Vit K nos últimos 6 meses
vd_supl1_multivitaminico_sem_minerais_ade	Uso de qualquer suplemento de micronutrientes multivitamínico sem minerais que contenha Vit A, Vit D, Vit E nos últimos 6 meses
vd_supl1_multivitaminico_sem_minerais_b	Uso de qualquer suplemento de micronutrientes multivitamínico sem minerais que contenha Vit B nos últimos 6 meses
vd_supl1_multivitaminico_sem_minerais_bc	Uso de qualquer suplemento de micronutrientes multivitamínico sem minerais que contenha Vit B, Vit C nos últimos 6 meses
vd_supl1_multivitaminico_sem_minerais_outros	Uso de qualquer suplemento de micronutrientes multivitamínico sem minerais que contenha outra combinação de vitaminas não contemplado em combinações anteriores nos últimos 6 meses
vd_supl1_outros_supl	Uso de outros suplementos de micronutrientes não contemplados nas combinações anteriores nos últimos 6 meses
vd_supl1_sobreposicao	Uso de mais de um suplementos de micronutrientes em que se sobrepõe pelo menos um nutriente nos últimos 6 meses
vd_supl1_somente_ferro	Uso de qualquer suplemento de micronutrientes que contenha somente ferro nos últimos 6 meses
vd_supl1_somente_vita	Uso de qualquer suplemento de micronutrientes que contenha somente Vit A nos últimos 6 meses
vd_supl1_somente_vitc	Uso de qualquer suplemento de micronutrientes que contenha somente Vit C nos últimos 6 meses
vd_supl1_somente_vitd	Uso de qualquer suplemento de micronutrientes que contenha somente Vit D nos últimos 6 meses
vd_supl1_somente_vitsad	Uso de qualquer suplemento de micronutrientes que contenha somente Vit A e Vit D nos últimos 6 meses
vd_supl1_somente_zinco	Uso de qualquer suplemento de micronutrientes que contenha somente zinco nos últimos 6 meses
vd_supl1_vita_indep_mega_nutrisus	Uso de qualquer suplemento de micronutrientes que contenha ferro independente do uso de megadose de Vit A e NUTRISUS nos últimos 6 meses
vd_supl1_vita_nao_sus	Uso de qualquer suplemento de micronutrientes que contenha Vit A não adquirido no Serviço público de saúde  nos últimos 6 meses
vd_supl1_vita_sus	Uso de qualquer suplemento de micronutrientes que contenha Vit A adquirido no Serviço público de saúde  nos últimos 6 meses
vd_suplemento	Uso de suplementos de micronutrientes atual ou nos últimos 6 meses
vd_suplemento_comercial	Uso de suplementos de micronutrientes atual ou nos últimos 6 meses não adquirido no Serviço público de saúde 
vd_suplemento_sus	Uso de suplementos de micronutrientes atual ou nos últimos 6 meses adquirido no Serviço público de saúde 
vd_zhaz	vd_zhaz - Escore z do índice altura/idade da criança
vd_zimc	vd_zimc - Escore z do índice imc/idade da criança
vd_zwaz	vd_zwaz - Escore z do índice peso/idade da criança
w01_motivo	w01_motivo - Motivo da interrupção da entrevista 
x06_total_pessoas	x06_total_pessoas - Total de moradores no domicílio
x07_total_criancas	x07_total_criancas - Total de crianças moradoras no domicílio
